省,市,县,观测时间,温度(℃),相对湿度,降水量(mm),风向,风力(m/s),经度,纬度
江苏,苏州,张家港,2015120417,7,32,0,273,0,120.55,31.87
江苏,苏州,张家港,2015120418,5,39,0,265,0,120.55,31.87
江苏,苏州,张家港,2015120419,4,50,0,211,0,120.55,31.87
江苏,苏州,张家港,2015120420,3,53,0,203,0,120.55,31.87
江苏,苏州,张家港,2015120421,4,58,0,200,0,120.55,31.87
江苏,苏州,张家港,2015120422,5,60,0,195,0,120.55,31.87
江苏,苏州,张家港,2015120423,999999,999999,999999,999999,999999,120.55,31.87
江苏,苏州,张家港,2015120500,5,63,0,222,2,120.55,31.87
江苏,苏州,张家港,2015120501,3,61,0,223,0,120.55,31.87
江苏,苏州,张家港,2015120502,4,63,0,999999,0,120.55,31.87
江苏,苏州,张家港,2015120503,6,64,0,177,0,120.55,31.87
江苏,苏州,张家港,2015120504,6,70,0,130,0,120.55,31.87
江苏,苏州,张家港,2015120505,4,71,0,171,0,120.55,31.87
江苏,苏州,张家港,2015120506,4,70,0,117,0,120.55,31.87
江苏,苏州,张家港,2015120507,4,68,0,192,0,120.55,31.87
江苏,苏州,张家港,2015120508,6,69,0,240,0,120.55,31.87
江苏,苏州,张家港,2015120509,5,67,0,146,0,120.55,31.87
江苏,苏州,张家港,2015120510,8,58,0,197,0,120.55,31.87
江苏,苏州,张家港,2015120511,9,46,0,257,0,120.55,31.87
江苏,苏州,张家港,2015120512,9,46,0,211,3,120.55,31.87
江苏,苏州,张家港,2015120513,7,47,0,251,0,120.55,31.87
江苏,苏州,张家港,2015120514,8,67,0,198,4,120.55,31.87
江苏,苏州,张家港,2015120515,5,69,0,211,2,120.55,31.87
江苏,苏州,张家港,2015120516,4,80,0,240,2,120.55,31.87
江苏,苏州,张家港,2015120517,6,90,0.1,194,4,120.55,31.87
江苏,苏州,张家港,2015120518,4,83,0,225,0,120.55,31.87
江苏,苏州,张家港,2015120519,6,84,0,263,2,120.55,31.87
江苏,苏州,张家港,2015120520,4,80,0.2,231,0,120.55,31.87
江苏,苏州,张家港,2015120521,6,88,0.2,242,2,120.55,31.87
江苏,苏州,张家港,2015120522,5,91,0.7,999999,0,120.55,31.87
江苏,苏州,张家港,2015120523,999999,999999,999999,999999,999999,120.55,31.87
江苏,苏州,张家港,2015120600,5,94,0.1,261,3,120.55,31.87
江苏,苏州,张家港,2015120601,3,92,0.2,254,1,120.55,31.87
江苏,苏州,张家港,2015120602,3,91,0.1,284,0,120.55,31.87
江苏,苏州,张家港,2015120603,3,88,0.1,357,1,120.55,31.87
江苏,苏州,张家港,2015120604,5,90,0,208,0,120.55,31.87
江苏,苏州,张家港,2015120605,5,90,0,246,2,120.55,31.87
江苏,苏州,张家港,2015120606,3,90,0,251,0,120.55,31.87
江苏,苏州,张家港,2015120607,4,91,0,268,0,120.55,31.87
江苏,苏州,张家港,2015120608,6,90,0,294,3,120.55,31.87
江苏,苏州,张家港,2015120609,6,87,0,301,4,120.55,31.87
江苏,苏州,张家港,2015120610,6,63,0,327,2,120.55,31.87
江苏,苏州,张家港,2015120611,9,60,0.1,318,4,120.55,31.87
江苏,苏州,张家港,2015120612,11,59,0.1,348,4,120.55,31.87
江苏,苏州,张家港,2015120613,11,59,0,344,4,120.55,31.87
江苏,苏州,张家港,2015120614,11,56,0,347,2,120.55,31.87
江苏,苏州,张家港,2015120615,9,53,0,328,0,120.55,31.87
江苏,苏州,张家港,2015120616,11,56,0,23,2,120.55,31.87
江苏,苏州,张家港,2015120617,8,59,0,28,0,120.55,31.87
江苏,苏州,张家港,2015120618,6,65,0,317,0,120.55,31.87
江苏,苏州,张家港,2015120619,8,68,0,322,2,120.55,31.87
江苏,苏州,张家港,2015120620,8,71,0,314,2,120.55,31.87
江苏,苏州,张家港,2015120621,6,79,0,19,0,120.55,31.87
江苏,苏州,张家港,2015120622,4,77,0,15,0,120.55,31.87
江苏,苏州,张家港,2015120623,999999,999999,999999,999999,999999,120.55,31.87
江苏,苏州,张家港,2015120700,5,88,0,217,0,120.55,31.87
江苏,苏州,张家港,2015120701,2,92,0,999999,0,120.55,31.87
江苏,苏州,张家港,2015120702,4,97,0,243,0,120.55,31.87
江苏,苏州,张家港,2015120703,2,96,0,245,0,120.55,31.87
江苏,苏州,张家港,2015120704,4,98,0,305,2,120.55,31.87
江苏,苏州,张家港,2015120705,5,92,0,298,2,120.55,31.87
江苏,苏州,张家港,2015120706,4,92,0,278,2,120.55,31.87
江苏,苏州,张家港,2015120707,3,84,0,325,0,120.55,31.87
江苏,苏州,张家港,2015120708,4,79,0,320,1,120.55,31.87
江苏,苏州,张家港,2015120709,9,74,0,342,3,120.55,31.87
江苏,苏州,张家港,2015120710,8,68,0,17,2,120.55,31.87
江苏,苏州,张家港,2015120711,12,60,0,11,4,120.55,31.87
江苏,苏州,张家港,2015120712,10,60,0,76,1,120.55,31.87
江苏,苏州,张家港,2015120713,11,60,0,43,2,120.55,31.87
江苏,苏州,张家港,2015120714,11,56,0,74,0,120.55,31.87
江苏,苏州,张家港,2015120715,13,55,0,111,0,120.55,31.87
江苏,苏州,张家港,2015120716,11,56,0,72,0,120.55,31.87
江苏,苏州,张家港,2015120717,11,65,0,96,2,120.55,31.87
江苏,苏州,张家港,2015120718,8,70,0,58,1,120.55,31.87
江苏,苏州,张家港,2015120719,10,76,0,94,2,120.55,31.87
江苏,苏州,张家港,2015120720,7,76,0,96,0,120.55,31.87
江苏,苏州,张家港,2015120721,8,82,0,108,2,120.55,31.87
江苏,苏州,张家港,2015120722,6,83,0,86,0,120.55,31.87
江苏,苏州,张家港,2015120723,999999,999999,999999,999999,999999,120.55,31.87
江苏,苏州,张家港,2015120800,7,88,0,64,2,120.55,31.87
江苏,苏州,张家港,2015120801,5,87,0,104,0,120.55,31.87
江苏,苏州,张家港,2015120802,4,92,0,168,0,120.55,31.87
江苏,苏州,张家港,2015120803,5,96,0,118,0,120.55,31.87
江苏,苏州,张家港,2015120804,5,97,0,138,0,120.55,31.87
江苏,苏州,张家港,2015120805,3,95,0,51,0,120.55,31.87
江苏,苏州,张家港,2015120806,5,96,0,96,2,120.55,31.87
江苏,苏州,张家港,2015120807,5,94,0,94,2,120.55,31.87
江苏,苏州,张家港,2015120808,8,86,0,74,2,120.55,31.87
江苏,苏州,张家港,2015120809,10,70,0,93,5,120.55,31.87
江苏,苏州,张家港,2015120810,12,64,0,61,6,120.55,31.87
江苏,苏州,张家港,2015120811,13,61,0,100,6,120.55,31.87
江苏,苏州,张家港,2015120812,13,58,0,125,6,120.55,31.87
江苏,苏州,张家港,2015120813,12,56,0,107,2,120.55,31.87
江苏,苏州,张家港,2015120814,12,54,0,120,3,120.55,31.87
江苏,苏州,张家港,2015120815,12,58,0,101,3,120.55,31.87
江苏,苏州,张家港,2015120816,11,60,0,111,2,120.55,31.87
江苏,苏州,张家港,2015120817,10,65,0,106,2,120.55,31.87
江苏,苏州,张家港,2015120818,9,70,0,118,1,120.55,31.87
江苏,苏州,张家港,2015120819,11,74,0,110,2,120.55,31.87
江苏,苏州,张家港,2015120820,8,71,0,105,1,120.55,31.87
江苏,苏州,张家港,2015120821,8,72,0,106,2,120.55,31.87
江苏,苏州,张家港,2015120822,9,79,0,115,3,120.55,31.87
江苏,苏州,张家港,2015120823,999999,999999,999999,999999,999999,120.55,31.87
江苏,苏州,张家港,2015120900,7,83,0,110,0,120.55,31.87
江苏,苏州,张家港,2015120901,9,88,0,107,3,120.55,31.87
